"Q1: Respondent","Q2: What kind of singing do you do? Tick all that apply","Q3: What kinds of folk singing events do you attend? Tick all that apply - Selected Choice","Q4: What kinds of folk singing events do you attend? Tick all that apply - Other, please describe - Text","Q5: How many times have you been folk singing in the last four weeks?","Q6: How old were you when you first took part in a folk singing event?","Q7: Why did you choose to start folk singing?","Microphone","Standing","Instrument","Word","Q12: Please describe your ideal folk singing environment.","Q13: How well do you think you sing when you take part in a folk singing event? 
0 = I sing very badly  
10 = I sing excellently.","Q14: How important to you is it that other people are good singers at folk singing events?","Q15: How accepted do you feel when you sing at a folk singing event?","Q16: What kind of relationships do you have with people you have met at folk singing events? Please tick all that apply - Selected Choice","Q17: What kind of relationships do you have with people you have met at folk singing events? Please tick all that apply - Other, please describe - Text","Q18: What other types of music events do you take part in? Please tick all that apply - Selected Choice","Q19: What other types of music events do you take part in? Please tick all that apply - Other, please describe - Text","Q22: For how long did you / have you organised folk singing events?","Q23: Have you organised non-folk music events as well? - Selected Choice","Q24: Have you organised non-folk music events as well? - Yes, please describe - Text","Q25: What motivates you to organise folk singing events?","Q26: Have you ever actively tried to reach people who may not normally attend folk singing events?","Q27: Please describe what you did and what impacts (if any) these actions had","Q28: Have you ever actively tried to improve accessibility to your events? By â€œaccessibilityâ€, we mean removing barriers that might prevent disabled people from attending an event.","Q29: Please describe how you tried to improve accessibility to your events and what impacts (if any) these actions had","Q30: Which factors are important to you when you choose to sing a particular folk song? Please tick all that apply. - Selected Choice","Q31: Which factors are important to you when you choose to sing a particular folk song? Please tick all that apply. - Other, please describe - Text","Q32: You selected that the song's content connects you to a specific place. Please describe the place.","Q33: You selected that you like to sing about a particular topic. Please describe the topic.","Q34: You selected that the song's origin interests you. Please describe the types of origins that interest you.","Q35: You selected that you connect with the song's political message. Please describe the political message that you connect with.","Q36: Would you like to tell us anything about why you choose to sing particular songs?","Q37: Have you ever heard a song at a folk singing event that you felt was inappropriate?","Inappropriate","Q39: Did you raise this with anyone at the event?","Impact","Q41: Have you ever experienced any barriers to participating in a folk singing event? For example, something relating to mental or physical health that could not be accommodated, or feeling unwelcome due to your age, gender, sexuality or ethnicity?","Barrier","Q43: Are you aware of any attempts by the organisers of folk singing events you have attended to be more inclusive or increase accessibility to the event?","Q44: Please describe what you noticed the organiser did to be more inclusive or increase accessibility to the event.","Q45: Is there anything else you would like to tell us about your experiences relating to folk singing in England - in particular about community, identity or inclusion - that has not been covered in this survey?","Q46: We have shared this survey as widely as we can but due to the ever-changing nature of the folk scene and new kinds of events, we know we will have missed some. Are there any folk events that you think we might not know about?","Q52: What is the highest educational qualification you have obtained? - Selected Choice","Q53: What is the highest educational qualification you have obtained? - Other, please describe - Text","Q54: Which social class do you most identify with? - Selected Choice","Q55: Which social class do you most identify with? - Other, please describe - Text","Q56: Do you live in the United Kingdom?","Q57: Please provide the first part of your postcode, e.g., S35 or BD22. (This question is important for understanding the distribution of our respondents. Respondents cannot be identified from their postcode data. You will not be identified, contacted or added to any mailing lists.) - Postcode","Q58: What is your country of residence?","Q59: How would you describe your national identity? - Selected Choice","Q60: How would you describe your national identity? - Other, please describe - Text","Q67: What is your religion, if any? - Selected Choice","Q68: What is your religion, if any? - Other Christian denomination, please describe - Text","Q69: What is your religion, if any? - Any other religion, please describe - Text","Q70: Are you currently practising this religion?","PoliticalParty","Q73: If there was a general election tomorrow, which political party would you be most likely to support? - Other, please state - Text","Political","Organiser","Ethnicity","Gender","Disability","Sexuality","Age","AgeCategorical"
"Respondent 145","Sing choruses","Concerts,Folk festivals,Other traditional community singing (like carol singing),Other, please describe","Workshops/Tuition","3-5","16","It wasn't really a conscious choice - It's almost an inherent part of the folk scene. So even approaching the folk scene with a view to joining as a Dancer/Tune player; you're exposed to singing frequently.","Without a PA / microphone","From my seat / standing as part of a group","Without instruments","Without a score / words","In a relaxed pub; or festival bar.","3","Somewhat important","Neutral","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting),Other, please describe","Non-professional organisation e.g. Festival Committees

Also non-professional groups e.g. Morris.","Go to workshops / take private lessons,I only take part in folk singing events,Other, please describe,5","Tune Sessions
 Morris Events","1 to 5 years","No",NA,"It's just a total pleasure seeing people come together and singing. Our first event post-covid was especially, surprisingly emotional.",NA,NA,"Yes","We publish full accessibility details of all venues via our event website - although we have no way of improving access to the venues themselves as this is out of our control.

We've also consciously moved events from venues with stairs to downstairs as and when we've been made aware of interest from mobility-impaired attendees.","You enjoy the melody,Other, please describe","Catchy lyrics (whilst no necessarily being poetic). 
It can also just be a fun song; or a boring song with an in-joke. E.g. Bar staff bringing a plate of toast out when singing ""let the toast go free"" ""FREE TOAST""",NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","S6 5AS",NA,"British",NA,"No religion",NA,NA,NA,"Green Party",NA,"8","Volunteer","White UK","Male","No","Heterosexual/Straight",28,"18-40"
"Respondent 146","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Open mic nights",NA,"1-2","20","I had been attending folk clubs - so decided to join in","Without a PA / microphone","Don't mind","Without instruments","With a score / words","Quite room, attentive audience","0","Somewhat important","Somewhat accepted","Friendships,Short-term romantic relationships (like dating),Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"Audience at rock/pop gigs,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,It is similar to songs other people sing at the events you attend,The song's origin interests you,The song's content connects you to the past,The song's content connects you to a specific place",NA,"A place in Wales that my Great-Great-Grandmother went to , on a railway trip , organised by the owner of the mill where she worked. Places I have been to, like Ilkley Moor bah tat.",NA,"Riots in Australia. Coal mining disasters. Working in cotton mills. etc etc etc",NA,"Because I can get away with singing them.
I don't have to be perfect.
I can sing the song (just).","Don't know",NA,NA,NA,"No",NA,"No",NA,"No","No","GSCE and equivalent (e.g., Standard grades, first certificate; ESOL, NVQ)",NA,"Working class",NA,"Yes","OL5",NA,"British",NA,"No religion",NA,NA,NA,"Labour Party",NA,"3","Non-organiser","White UK","Female","No","Heterosexual/Straight",70,"61-80+"
"Respondent 147","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"1-2","14","Singing and playing guitar was my hobby and my brother introduced me to the folk club.","Without a PA / microphone","From my seat / standing as part of a group","A mixture","A mixture","Real ale pub or festival beer tent","8","Somewhat important","Very accepted","Friendships,Short-term romantic relationships (like dating),Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"I only take part in folk singing events,5",NA,"Over 20 years","No",NA,NA,"No",NA,"Yes","Move to a more accessible venue","You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place",NA,"There are many folk songs set in specific places",NA,"Child Ballads Industrial revolution weaving mining industries",NA,"No","No",NA,NA,NA,"No",NA,"Yes","Encourage younger and older people to participate.","Many songs are particular to a place or event. Padstow may song for example.",NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Working class",NA,"Yes","SK3",NA,"British",NA,"No religion",NA,NA,NA,"Labour Party",NA,"7","Volunteer","White UK","Female","Yes","Heterosexual/Straight",66,"61-80+"
"Respondent 148","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"3-5","16","Like minded people, good company, loved the music, suited my singing voice","Don't mind","From my seat / standing as part of a group","Without instruments","With a score / words","Not in a Circle.  Not on the front row. Sympathetic lighting.","8","Somewhat important","Somewhat accepted","Friendships",NA,"I only take part in folk singing events,5",NA,"I just organised a one-off event","No",NA,"To bring to an area performers not seen before. 
To treat friends.","No",NA,"No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,It is similar to songs other people sing at the events you attend",NA,NA,NA,NA,NA,"To revive songs not heard recently","Yes","Modern pop songs not sung well.","No","None","No",NA,"No",NA,"Would like to see more young people, children and teenagers participating. My club is not a good place to bring children to as the adults are all established and fixed in what they want from a club and what they do/ perform at the club.",NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Prefer not to say",NA,"Yes","BD20",NA,"British",NA,"No religion",NA,NA,NA,"Green Party",NA,"6","Volunteer","White UK","Female","Yes","Heterosexual/Straight",73,"61-80+"
"Respondent 149","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"3-5","18","I enjoyed attending events to listen and it just progressed to actively taking part.","Without a PA / microphone","Don't mind","Without instruments","Without a score / words","Anywhere indoors with a group of other singers.","7","Somewhat important","Very accepted","Friendships,Short-term romantic relationships (like dating),Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"Audience at rock/pop gigs,Audience at classical concerts,Audience at non-folk festivals,Sing at sporting events,5",NA,"1 to 5 years","No",NA,"I responded to a request for help when someone wanted to start a folk club because there wasnâ€™t one in my home town.","Yes","Advertising and promoting events in local press. I think this had more effect on informing those already interested.","No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message",NA,"Various places, including Sheffield where I live and Northern Ireland where my wife came from",NA,"Sometimes itâ€™s the story of where it came from or what it is about.  Sometimes the story of how/when/why it was written.","Generally left wing.","Iâ€™ll usually learn a song because I enjoyed hearing someone else singing it, though sometimes Iâ€™ve learned one out of a book because I liked the words. Occasionally Iâ€™ve learnt a song because it seemed appropriate for a specific time or or place. If I find that I can sing it reasonably, and enjoy singing it I continue to do so.","Yes","Mostly songs that include racist language and attitudes.",NA,"I avoided returning to one event.","No",NA,"Yes","In recent years I have noticed more organisers and venues at least being aware of accessibility problems, and actively trying to reduce these.",NA,NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","S11",NA,"British",NA,"No religion",NA,NA,NA,"Labour Party",NA,"8","Volunteer","White UK","Male","No","Heterosexual/Straight",67,"61-80+"
"Respondent 150","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals",NA,"6-10","27","I met a folk singer and started to enjoy a type of music that I had not encountered before.","Without a PA / microphone","Don't mind","Without instruments","Without a score / words","Singaround","9","Neutral","Very accepted","Friendships,Short-term romantic relationships (like dating),Long-term relationships (like marriage, civil partnerships, co-habiting),Professional relationships (like business collaborators, employers/employees)",NA,"5",NA,"Over 20 years","Yes, please describe","IVFDF","A sense of achievement and pleasure seeing other people enjoy the experience.","Yes","People who say that they can't sing, usually because some stupid teacher told them that as a child, are my preferred target. Even if they only get as far as joining in with some choruses, that can be a huge achievement for them.",NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a political message",NA,NA,NA,"I like to credit the writer or collector when possible.","Too varied to properly explain, but in general I like a subtle message that creates thought. I don't like songs that preach a message.","Every song has some connection or creates some feeling in me. I takes me a long time to learn songs; so they have to be worth the effort.","Yes","Racist, macho, religious, preaching, intolerant, sexist. Etc.","No","none","No",NA,"Yes","Attempts to stop folk events seeming like a closed group.","no","no","Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","ex17",NA,"English",NA,"No religion",NA,NA,NA,"Other, please state","Tactical anti tory voting","5","Volunteer","White UK","Male","No","Heterosexual/Straight",68,"61-80+"
"Respondent 151","Perform professionally/semi-professionally","Folk clubs,Concerts,Folk festivals,Open mic nights",NA,"1-2","16","I liked folk music in the early 70's","Don't mind","From the front / a stage","A mixture","Without a score / words","Performing as solo or as a small group","7","Neutral","Very accepted","Friendships,Professional relationships (like business collaborators, employers/employees)",NA,"Audience at rock/pop gigs,Audience at classical concerts,5",NA,"1 to 5 years","Yes, please describe","Charity music concerts and self organised / promoted concerts for myself and group","I enjoy the music and the breadth of talent that can take part","No",NA,"Yes","Ensured venues have access for wheelchairs etc","You enjoy the melody,You enjoy the lyrics for their poetry,The song's content connects with your personal experience",NA,NA,NA,NA,NA,"I like stories and personal experiences","No",NA,NA,NA,"No",NA,NA,NA,"Anybody who has non left wing political views would feel unwelcome","no","Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Other, please describe","I don't identify with any social class","Yes","PE11",NA,"English",NA,"Church of England / Anglican",NA,NA,"Prefer not to say","Conservative Party",NA,"7","Professional","White UK","Male","No","Heterosexual/Straight",66,"61-80+"
"Respondent 152","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Singarounds,Other, please describe","Primarily their Zoom equivalents.","3-5","17","I had friends who played, sang, and attended clubs, and it suited me as a performer/.","Don't mind","Don't mind","With instruments","Without a score / words","Folk club, no smoke, no drunks; but best gig was 2000 people concert at a festival.","10","Somewhat important","Very accepted","Friendships,Professional relationships (like business collaborators, employers/employees)",NA,"Other, please describe","Not exactly musical, but I participate in local amateur theater, which has much of the same ethos as the folk scene.","1 to 5 years","No",NA,"I was a student, had a list of people I wanted to hear, and was friends with other organizers.",NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to a political message,Other, please describe","I believe I can do something with the song that is unique.",NA,"There's more than one! But generally, the lives of ordinary people.",NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","TW9",NA,"Other, please describe","American","No religion",NA,NA,NA,"Liberal Democrats",NA,"6","Volunteer","White Other","Female","No","Heterosexual/Straight",69,"61-80+"
"Respondent 153","Lead songs,Sing choruses","Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"1-2","18","Taken to a folk club by a friend","Without a PA / microphone","From my seat / standing as part of a group","Without instruments","A mixture","Sing around with friends  . Also at festivals","5","Neutral","Somewhat accepted","Friendships",NA,"Audience at non-folk festivals,Sing at sporting events,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,It is similar to songs other people sing at the events you attend,The song's origin interests you,The song's content connects you to a political message",NA,NA,NA,"Travellers. Comparing versions of old songs and how / why they have changed","Left wing. Supporting the vulnerable. Environment.","Local Lancashire dialect songs (my own origins). Easy to remember! Like the tune","No",NA,NA,NA,"No",NA,"Yes","Wheelchair access","In Padstow and Hastings the majority of participants are locals rather than Â«Â folkiesÂ Â» (as far as I can tell) though this goes beyond singing. Good to know local traditions survive in this way","Canâ€™t think of any!","Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","S2",NA,"English",NA,"Christian, no denomination",NA,NA,"No","Labour Party",NA,"8","Non-organiser","White UK","Male","No","Heterosexual/Straight",76,"61-80+"
"Respondent 154","Lead songs,Sing choruses","Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"1-2","19","Met a friend who was a 'folk baby'; it was a way to keep singing with friends after school when choirs seemed to only be for music students or paid clubs","Without a PA / microphone","From my seat / standing as part of a group","Don't mind","Don't mind","Queer songs: vibe is universally supportive, many innovations","5","Somewhat important","Neutral","Friendships,Other, please describe","'Scene acquainted' - recognise many people I might never have spoken to","Audience at rock/pop gigs,Audience at classical concerts,Audience at non-folk festivals,Sing in a classical choir,Go to workshops / take private lessons,5",NA,"Under 1 year","Prefer not to say",NA,"Generating specific environments to share with people",NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,It is similar to songs other people sing at the events you attend,The song's content connects with your personal experience",NA,NA,"Joyful queer experience/heritage songs (mining, sailing)",NA,NA,"Often important to have choruses in most contexts","Don't know",NA,NA,NA,"Prefer not to say",NA,"Yes","Moved venues for accessibility; successful leadership to communicate welcome",NA,NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","s11",NA,"British",NA,"No religion",NA,NA,NA,"Green Party",NA,"4","Volunteer","Any Other Ethnicity","Female","No","Not sure",30,"18-40"
"Respondent 155","Perform professionally/semi-professionally,Sing choruses","Folk clubs,Singarounds,Folk festivals,Other, please describe","Busking","6-10","13","I learned a song from a schoolfriends grandfather who was a fisherman in Hastings","Without a PA / microphone","From the front / a stage","A mixture","Without a score / words","A bar with friends","9","Not at all important","Very accepted","Friendships",NA,"5",NA,"10 to 20 years","Yes, please describe","Canoeing and first aid courses","A love of the music","Yes","They've (usually)! enjoyed themselves","Yes","Wheelchair friendly","Other, please describe","I love the stories and if they are true,even better!",NA,NA,NA,NA,"I choose mainly ballads.....story songs, but I always seek to entertain, so if they are humorous, so much the better","Yes","I get very weary of angst ridden songs by young women who have no good reason to be miserable. I also dislike songs that try to make a political point","Yes","I go to the bar when these folk are singing!","No",NA,"Yes","Wheelchair access to stage by","I do find that folk festival organisers want to invite acts that don't even describe their own music as folk......perhaps it's time I stopped going to Cambridge folk festival!",NA,"Postgraduate research degree (e.g., PhD, DPhil)",NA,"Middle class",NA,"Yes","Cb4",NA,"English",NA,"No religion",NA,NA,NA,"Liberal Democrats",NA,"7","Volunteer","White UK","Male","No","Heterosexual/Straight",77,"61-80+"
"Respondent 156","Lead songs,Sing choruses","Folk clubs,Singarounds,Other traditional community singing (like carol singing)",NA,"0","19","It felt natural having grown up in a singing household - i.e. we all sang at home; we didn't go out to singing venues/events.","Without a PA / microphone","From my seat / standing as part of a group","Without instruments","Without a score / words","Lots of people sitting in a pub, ideally with one person inviting others to sing.","8","Not very important","Somewhat accepted","Friendships",NA,"Audience at rock/pop gigs,Audience at classical concerts,Sing at sporting events,Go to workshops / take private lessons",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content connects you to the past,The song's content connects you to a political message",NA,NA,"I like songs about workers' rights and solidarity, anti-war songs and feminist and/or LGBTQ topics (or songs that I can read that way). I also like sea shanties.","I find songs that have changed over time and place interesting.","I like songs about workers' rights and solidarity, anti-war songs and feminist and/or LGBTQ topics (or songs that I can read that way)","Sometimes I choose songs because I associate them with a particular person or group I've learned them from.","Yes","I feel uncomfortable hearing songs that are racist, or that make light of violence against women.","Prefer not to say","I avoid some singers and events.","Yes","There are events I would steer clear of because I don't know how welcoming they are to trans people.","Yes","I've seen organisers making explicit statements of inclusivity on facebook pages.",NA,NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","S4",NA,"English",NA,"Any other religion, please describe",NA,"Quaker","Yes","Labour Party",NA,"6","Non-organiser","White UK","Trans/non-binary/other","No","Bisexual",44,"41-60"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Respondent 158","Lead songs","Concerts,Open mic nights",NA,"3-5","23","Interest in traditional songs, and enjoyment of singing with others","Don't mind","Don't mind","With instruments","A mixture","Small vocal group","7","Somewhat important","Somewhat accepted","Friendships",NA,"Audience at rock/pop gigs,Play in a classical group,Sing in a classical choir,5",NA,"Under 1 year","Yes, please describe","Jazz - jam sessions","Contact with other like-minded participants","No",NA,NA,NA,"You enjoy the melody,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects you to the past",NA,NA,NA,"English, particularly Sussex/Hampshire",NA,"Tunes with possibilities for harmony","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"Postgraduate research degree (e.g., PhD, DPhil)",NA,"Prefer not to say",NA,"Yes","SO17",NA,"English",NA,"No religion",NA,NA,NA,"Conservative Party",NA,"3","Volunteer","White UK","Male","No","Heterosexual/Straight",72,"61-80+"
"Respondent 159","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"3-5","15","Music heard on disc and radio.","Without a PA / microphone","Don't mind","A mixture","Without a score / words","Session or club with enthusiastic audience","8","Somewhat important","Very accepted","Friendships",NA,"Audience at classical concerts,Audience at non-folk festivals,Other, please describe,5","Sing in an indie pop choir","5 to 10 years","No",NA,"Promotion of local bands/singers","No",NA,"Yes","The folk events I have been involved in, part of a community festival, take place in an accessible venue.","You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content connects with your personal experience,The song's content connects you to a political message",NA,NA,"Birds","Local origins. Reason why contemporary songs were written.","Solidarity with working people.",NA,"Yes","Lyrics that could offend - generally around violence towards women.","No","Not much, as I won't sing such songs myself.","No",NA,"No",NA,NA,"Sessions?","Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Working class",NA,"Yes","BN443PF",NA,"English",NA,"No religion",NA,NA,NA,"Other, please state","I would probably not vote, because despite being a lifelong Labour voter I disagreed strongly with certain of their current policies.","7","Volunteer","White UK","Male","No","Heterosexual/Straight",70,"61-80+"
"Respondent 160","Perform professionally/semi-professionally,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"1-2","16","I love the songs, the strong melodies, minor and modal keys, the stories and history they convey and the folk community that I've found friendly and accessible.","Without a PA / microphone","From my seat / standing as part of a group","A mixture","Without a score / words","A small room with good acoustics and an informal layout.","7","Somewhat important","Very accepted","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting),Professional relationships (like business collaborators, employers/employees)",NA,"Other, please describe,5","Local community events.","Over 20 years","Yes, please describe","Local community fete, Christmas events and a Street Sale.","I love the music and want to give opportunities to performers and share with other people.","Yes","At one time I organised a Singers Circle, in the style of the Irish circles. The group met monthly in pubs around the area, in the bar or lounge, not a back room. Most singers were unaccompanied but it was a personal choice if people wanted to accompany themselves or sing as a small group and was unamplified. The only requirement was that the landlord turned off any background music. There was generally a favorable reaction from members of the public who would join in when they realised that it was normal and we had many good comments such as 'I didn't know people still did this' and sometimes wanted to sing a song themselves.

I'm also involved in community events in the local area and try to recruit singers, morris sides and mummers to participate. They have all been well received and enjoyed. The only exception I can think of was one of my cousins who was absolutely hated the mummers play I had at one of my birthday parties!","Yes","Accessibility is a key part of organising a festival and is taken very seriously. Most venues are wheelchair accessible with defined spaces for chairs and carers, a disabled camping area is provided with disabled showers and toilets which is close to the food and bar area. Having had our first year on a new site we are introducing wheelchair friendly buggies to transport people around site.","You enjoy the melody,You enjoy the lyrics for their poetry,It is similar to songs other people sing at the events you attend,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a political message",NA,NA,NA,"Any really but the songs that I mostly access are from the UK, Ireland, Canada, the US and Europe mainly France.","The working conditions and social history of the people of the UK and Ireland plus songs that cover the experience of women.","The melody is the most important part for me, preferably a strong tune that can stand without accompaniment and a topic that appeals to me.","Yes","Many years ago I heard songs that were extremely racist that are no longer sung. However, I don't think they should be entirely forgotten as they are a reminder of where we have come from and it is important to keep that perspective.","No","At the time it was considered acceptable but, retrospectively, I think a little more about my own material and whether it is acceptable by modern standards.","No",NA,"Yes","At smaller, more informal events I've found people are always willing to try to make it accessible to all, but it can be difficult, if not impossible. It's mainly down to the choice of venue and their own standards. The festival has it's own legal requirements to make the evnt accessible.","I've always found the folk scene to be very friendly and inclusive and to make every possible effort to include people of all abilities, ethnicities and backgrounds. My main concern is that the scene as a whole is not outward looking enough. Events are often held in back rooms or upstairs rooms which means that the general public have very little exposure to the music. We can often be in our own comfortable 'bubble', which has helped to hugely raise standards, but we end up just playing to each other. The festival fringe is a great example of how to reach a broader audience with events in pubs, restaurants, the Town Square and a Morris procession. Most local people think that is the festival and don't come to the site to see the concerts, but still greatly enjoy and appreciate the events. Building bridges between those worlds is one of the greatest challenges.","Due to difficulties with venues our club has moved to our house, which means it is restricted to friends. And there seems to be growing number of house concerts which are becoming more common.","Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","CV4",NA,"English",NA,"Christian, no denomination",NA,NA,"Yes","Labour Party",NA,"8","Volunteer","White UK","Female","No","Heterosexual/Straight",70,"61-80+"
"Respondent 161","Lead songs,Sing choruses","Concerts,Singarounds,Open mic nights,Other, please describe","Music sessions in pubs","6-10","61","Had more confidence","Without a PA / microphone","From my seat / standing as part of a group","Without instruments","A mixture","In a pub with a beer or stout.","8","Not very important","Somewhat accepted","Friendships",NA,"I only take part in folk singing events",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message",NA,"Scotland","Industrial past","Irish. Scottish clearances workers struggles","F the Tories","Songs that I like and feel comfortable with. Songs that shares different ethnic and cultural backgrounds","No",NA,NA,NA,"Yes","Iâ€™m hearing impaired and sing A Capella some people insist in talking loudly and or tune guitars which is off putting","No",NA,"Find the racism in some Morris dance groups unfortunate. I emphasise some. Being English is ok without being racist.","Your probably aware of most Sheffield sessions in The Grapes, Dog and Partridge and Fagans to name a few.","Other, please describe","City & Guilds and NVQ4","Working class",NA,"Yes","S8",NA,"Scottish",NA,"No religion",NA,NA,NA,"Other, please state","SNP","5","Non-organiser","White UK","Male","Yes","Heterosexual/Straight",69,"61-80+"
"Respondent 162","Sing choruses","Folk clubs,Concerts,Singarounds,Open mic nights,Other traditional community singing (like carol singing)",NA,"1-2","14","My older brother and his friends sang and I liked to join in.","Without a PA / microphone","From my seat / standing as part of a group","A mixture","Without a score / words","Dog friendly pub  open fires  table and chairs.","8","Neutral","Very accepted","Friendships",NA,"Audience at classical concerts,Sing in a classical choir,Sing in a religious group",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects you to the past,The song's content connects you to a specific place",NA,"North East and Yorkshire.",NA,"Mining,  farming",NA,"If they suit my voice or they have an easy chorus so that everyone can join in.","No",NA,NA,NA,"No",NA,NA,NA,NA,"Folk Camps. Family based festivals.","A level or equivalent (e.g., AS level; Highers; International Baccalaureate diploma; access to higher education diploma)",NA,"Working class",NA,"Yes","NG6",NA,"English",NA,"Other Christian denomination, please describe","Pentecostal",NA,"Yes","Labour Party",NA,"7","Non-organiser","White UK","Female","Yes","Heterosexual/Straight",70,"61-80+"
